DATE,CORESTICKM159SFRBATL
2000-04-01,2.5712387666666667
2000-07-01,2.8393939000000000
2000-10-01,2.9321634000000000
2001-01-01,2.9500536333333333
2001-04-01,3.1323022000000000
2001-07-01,3.2938577666666667
2001-10-01,3.5603891666666667
2002-01-01,3.5291221666666667
2002-04-01,3.3973295666666667
2002-07-01,3.1561201333333333
2002-10-01,2.8612543666666667
2003-01-01,2.7066665666666667
2003-04-01,2.3597466000000000
2003-07-01,2.1956631000000000
2003-10-01,2.0579731333333333
2004-01-01,2.0486402333333333
2004-04-01,2.2917045000000000
2004-07-01,2.2539275333333333
2004-10-01,2.2841061333333333
2005-01-01,2.2827626000000000
2005-04-01,2.2656775666666667
2005-07-01,2.2998538333333333
2005-10-01,2.4086672333333333
2006-01-01,2.5104978333333333
2006-04-01,2.8330273000000000
2006-07-01,3.1770417333333333
2006-10-01,3.1878481000000000
2007-01-01,3.1387645333333333
2007-04-01,2.7935353000000000
2007-07-01,2.4956878666666667
2007-10-01,2.6241427000000000
2008-01-01,2.6841240333333333
2008-04-01,2.8188494666666667
2008-07-01,3.0584795333333333
2008-10-01,2.7820292666666667
2009-01-01,2.5217749666666667
2009-04-01,2.2516231000000000
2009-07-01,1.7696519666666667
2009-10-01,1.4057833666666667
2010-01-01,1.05456261000000000000
2010-04-01,0.82024410333333333333
2010-07-01,0.70427847666666666667
2010-10-01,0.77945652333333333333
2011-01-01,1.09000671000000000000
2011-04-01,1.25866603333333333333
2011-07-01,1.6024723666666667
2011-10-01,1.9099771333333333
2012-01-01,2.0862924666666667
2012-04-01,2.2080746333333333
2012-07-01,2.2178182666666667
2012-10-01,2.1709293000000000
2013-01-01,2.1047388666666667
2013-04-01,1.9066159333333333
2013-07-01,1.8908401000000000
2013-10-01,1.8776708666666667
2014-01-01,1.8106191666666667
2014-04-01,2.0989122000000000
2014-07-01,2.0057868666666667
2014-10-01,1.9938367666666667
2015-01-01,1.9889290000000000
2015-04-01,2.0815810333333333
2015-07-01,2.2003728333333333
2015-10-01,2.3983863000000000
2016-01-01,2.5142698000000000
2016-04-01,2.5593518000000000
2016-07-01,2.6435869333333333
2016-10-01,2.5434212333333333
2017-01-01,2.5964553333333333
2017-04-01,2.1822036666666667
2017-07-01,2.1144326666666667
2017-10-01,2.1444406666666667
2018-01-01,2.2224660000000000
2018-04-01,2.5305443333333333
2018-07-01,2.4714816666666667
2018-10-01,2.4520506666666667
2019-01-01,2.3872883333333333
2019-04-01,2.4089693333333333
2019-07-01,2.5656203333333333
2019-10-01,2.7493063333333333
2020-01-01,2.7524606666666667
2020-04-01,2.1229020000000000
2020-07-01,2.2384086666666667
2020-10-01,1.7857816666666667
2021-01-01,1.5836683333333333
2021-04-01,2.4913580000000000
2021-07-01,2.4323036666666667
2021-10-01,3.2446940000000000
2022-01-01,4.2847173333333333
2022-04-01,5.0432406666666667
2022-07-01,6.0032763333333333
2022-10-01,6.4844033333333333
