,new_column
0,1599313548
1,1820995213
2,2061553338
3,1994362673
4,1737935031
5,1868809900
6,2208229913
7,2144321984
8,2089641421
9,2440957646
10,2277419609
11,2356894762
12,1995420606
13,2411895534
14,2405014618
15,2420622470
16,2114906060
17,2536248727
18,2397775918
19,2305705307
20,2019460461
21,2236780753
22,2269672737
23,2307704360
24,2021028188
25,2409651381
26,2457860952
27,2314501420
28,2161093052
29,2480649077
30,2773239687
31,2264038036
32,2216936112
33,2507023199
34,2625506650
35,2303182624
36,2429351550
37,2828557751
38,2608231627
39,2749745355
40,2647418567
41,2725674879
42,2740868749
43,2471425964
44,2094029056
45,2835425500
46,2893037555
47,2333203248
48,2593311679
49,2826021556
50,2698643131
51,2725665006
52,2272778134
53,3060536205
54,2871305236
55,2750905225
56,2399896607
57,2836836996
58,2504769341
59,2627358905
60,2474840407
61,3111375596
62,2651981596
63,2910583148
64,2784471480
65,2803870622
66,2978884035
67,2807999318
68,2912280871
69,2705602209
70,2562244996
71,2895259444
72,2858379432
73,3347412357
74,2734900097
75,2951468125
76,2400027437
77,3261698580
78,2812620625
79,2889014247
80,1789173905
81,4725480
82,126154944
83,193792471
84,236495603
85,811084276
86,1367417382
87,2067811192
88,1345031029
89,2325778439
90,1923613844
91,1774933958
