dates,realOverall,realpcedur
4/1/2000,1510867419,295.2043998
7/1/2000,1868981334,296.0892547
10/1/2000,1832492878,295.8814543
1/1/2001,2144246044,291.6609255
4/1/2001,1543015159,292.5514923
7/1/2001,1926062620,293.3551485
10/1/2001,2177387202,302.1467869
1/1/2002,2133851372,306.012182
4/1/2002,1962590658,303.6686503
7/1/2002,2471169833,301.3845546
10/1/2002,2002486522,302.1944383
1/1/2003,2359051929,300.0744229
4/1/2003,1788558432,308.6536118
7/1/2003,2504012441,321.1414272
10/1/2003,2156096974,329.4868242
1/1/2004,2420413103,332.976349
4/1/2004,1993665551,336.6942875
7/1/2004,2552763744,339.7531409
10/1/2004,2106623886,339.781796
1/1/2005,2242984508,348.093115
4/1/2005,1938490144,355.1328759
7/1/2005,2230743880,353.3471294
10/1/2005,2045618374,354.1165241
1/1/2006,2295838607,367.2343039
4/1/2006,1932782741,361.8508986
7/1/2006,2415590622,361.4989764
10/1/2006,2194071813,370.7431514
1/1/2007,2452902904,367.8393014
4/1/2007,1906239004,368.8769644
7/1/2007,2527823462,372.6832526
10/1/2007,2589382353,371.492481
1/1/2008,2321269120,358.5833996
4/1/2008,2019994391,359.2646457
7/1/2008,2600539038,345.8758566
10/1/2008,2371914438,327.4739745
1/1/2009,2338667337,326.2511658
4/1/2009,2348926137,313.4777471
7/1/2009,2869027701,313.4523204
10/1/2009,2373661282,312.1254003
1/1/2010,2863952320,311.6457527
4/1/2010,2605641372,312.5980406
7/1/2010,2814868764,311.5886464
10/1/2010,2448335067,311.6737657
1/1/2011,2487771450,312.2980689
4/1/2011,2063008884,310.7940877
7/1/2011,2946094710,310.1934655
10/1/2011,2620433614,310.9183952
1/1/2012,2345686027,312.4951859
4/1/2012,2497813407,310.6309551
7/1/2012,2889283105,311.5445345
10/1/2012,2602425961,312.6100192
1/1/2013,2742714275,319.9537242
4/1/2013,2165755726,316.2892256
7/1/2013,3258709996,316.9476437
10/1/2013,2488176953,315.8829129
1/1/2014,2781468761,316.1457096
4/1/2014,2318035386,319.7310623
7/1/2014,2816351176,322.531253
10/1/2014,2373268938,324.2433258
1/1/2015,2619496158,324.3902835
4/1/2015,2505662475,323.4417721
7/1/2015,2975547553,326.0284616
10/1/2015,2482903752,331.3840911
1/1/2016,2922221533,335.290247
4/1/2016,2600408758,336.3144483
7/1/2016,2866816043,336.9449492
10/1/2016,2713125647,333.4508262
1/1/2017,2807862815,338.6893741
4/1/2017,2830192012,345.1068953
7/1/2017,2699139101,345.9394019
10/1/2017,2340457489,353.8497065
1/1/2018,3134418709,356.0545786
4/1/2018,2533658724,359.1424292
7/1/2018,3342242801,362.6932632
10/1/2018,2759039272,361.6861027
1/1/2019,2894047982,366.9648254
4/1/2019,2279121834,374.4413192
7/1/2019,3354713288,383.7809783
10/1/2019,2526542056,387.3979278
1/1/2020,2844351160,391.2191517
4/1/2020,1473088351,426.840126
7/1/2020,4410740.6,481.4218069
10/1/2020,118191247.4,479.7537143
1/1/2021,193916147.4,515.6048777
4/1/2021,279061327.3,526.4505174
7/1/2021,844848168,519.2484781
10/1/2021,1365130330,527.6918086
1/1/2022,1926702206,533.0508522
4/1/2022,1276852178,522.9942157
7/1/2022,2377080497,529.5586338
10/1/2022,1585316339,515.2734591
